Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público 
2018;B1700548300000;Alguma Coisa Assim;Esmir Filho/Mariana Bastos;Ficção;Saliva Shots;SP;Canal Brasil/Claraluz Filmes;RJ/SP;Vitrine Filmes;26;71523.00;5576
2018;B1800470600000;Amanhã Chegou;Renata Caldas Simões;Documentário;Atômica;SP;Canal Azul/Tocha Produções;SP;Elo Company;21;6033.00;686
2018;B1800089800000;Amores De Chumbo;Tuca Siqueira;Ficção;Plano 9 Produções;PE;Garimpo Produção Ilimitada/Tuca Siqueira;PE;Elo Company;21;21529.00;2456
2018;B1800330200000;Ana E Vitória;Matheus De Souza Silva;Ficção;Felipe Simas;SP; -; -;Vitrine Filmes;193;992171.00;72919
2018;B1700331900000;Antes Do Fim;Cristiano Burlan;Ficção;Bela Filmes;SP;Canal Brasil;RJ;Bela Filmes;3;11961.00;1251
2018;B1700306100000;Antes Que Eu Me Esqueça;Tiago Arakilian Affonso;Ficção;Titânio Produções;RJ;Globo Filmes/Fraiha Produções/Xanadu;RJ;Imagem;66;281853.00;16232
2018;B1700416900000;Aos Teus Olhos;Carolina De Mello Jabor;Ficção;Conspiração Filmes;RJ;Globo Filmes/Guel Produtora;RJ;Pagu Pictures;54;463560.00;27870
2018;B1402180000000;Aprender A Ler Pra Ensinar Meus Camaradas;João Marques Guerra;Documentário;Griot Filmes;BA; -; -;Griot Producoes;1;545.00;37
2018;B1700085300000;Arábia;Affonso Uchôa/João Dumans;Ficção;Affonso Uchôa/Katásia Filmes;MG;Affonso Uchôa; -;Embaúba Filmes/Pique-Bandeira Filmes;28;157981.00;11749
2018;B1700450500000;As Boas Maneiras;Juliana Rojas/Marco Dutra;Ficção;Dezenove Som e Imagens;SP;Globo Filmes/Xanadu;RJ;Imovision;28;172502.00;11394
2018;B1800293900000;As Herdeiras;Marcelo Martinessi;Ficção;Esquina Filmes;RJ; -; -;Imovision;29;359554.00;22617
2018;B1800228200000;Auto De Resistência;Luiz Gandelman Carvalho/Natasha Brusaferro Riquelme Elbas Neri;Documentário;Kinofilme;RJ; -; -;Arthouse;13;39835.00;2940
2018;B1700278300000;Baronesa;Juliana Antunes Coutinho Morais;Documentário;Ventura Filmes;RJ;Filmes de Plástico;MG;Vitrine Filmes;28;48365.00;6344
2018;B1800106900000;Benzinho;Gustavo Pizzi;Ficção;Bubbles Project;RJ;TV Zero/Baleia Filmes/Telecine/Canal Brasil;RJ;Vitrine Filmes;43;597147.00;39284
2018;B1700353800000;Berenice Procura;Allan Fiterman;Ficção;EH! Filmes;RJ;Canal Brasil/Bebinho Salgado 45/Naymar/Afinal Filmes;RJ/PE/RJ/RJ;H2O Films;25;92563.00;6138
2018;B1700402100000;Blitz;Rene Tada Brasil;Ficção;Kinoosfera Filmes;SP; -; -;Pandora;1;111.00;11
2018;B1800387300000;Boca De Loba;Barbara Cabeca Rangel;Ficção;Lambeolhos Produções;CE; -; -;Olhar Distribuição;1;994.00;117
2018;B1800077400000;Bonifácio, O Fundador Do Brasil;Mauro Cesar Ventura Alves;Documentário;Ivin Films;RJ; -; -;Ivin Films;11;86109.00;3749
2018;B1800218400000;Bravas Donnas ? Memória Italiana;Adriana Da Silva;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;2680.00;103
2018;B1700013000000;Café Com Canela;Ary Rosa Duarte/Glenda Nicacio;Ficção;Rosza Filmes Produções;BA; -; -;Arco Audiovisual;17;120842.00;10523
2018;B1700349900000;Caminho Do Mar;Paulo Roberto Abrantes;Documentário;Bang Filmes;RJ; -; -;Bang Filmes;2;7242.00;1037
2018;B1700606900000;Camocim;Fellipe Fernandes/Quentin Delaroche;Documentário;Ponte Produtoras;PE; -; -;Vitrine Filmes;30;10810.00;1572
2018;B1800073300000;Canastra Suja;Caio Soh;Ficção;Cinema Bruto;RJ;Ricardo Augusto Simões/Bianca Bin/Canal Brasil/Marco Ricca/MBrichta Produções Artísticas/Mistika/Taregue Produções Artísticas;SP/RJ/RJ/SP/RJ;Arthouse;23;27185.00;2071
